index,score
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,0.870968
17,0.870968
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,0.225806
33,0.225806
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,0.290323
43,0.290323
44,0.290323
45,0.290323
46,1
47,1
48,1
49,1
50,1
51,1
52,0.16129
53,0.16129
54,0.290323
55,0.290323
56,1
57,1
58,1
59,1
60,1
61,1
62,0.16129
63,0.16129
64,0.290323
65,0.290323
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,0.290323
79,0.290323
80,0.258065
81,0.258065
82,0.0967742
83,0.0967742
84,0.0967742
85,0.0967742
86,0.0645161
87,0.0645161
88,0
89,0
90,0.0322581
91,0.0322581
92,0.0645161
93,0.0645161
94,0.0322581
95,0.0322581
96,0.0322581
97,0.0322581
98,0.0645161
99,0.0645161
100,0.0967742
101,0.0967742
102,0.225806
103,0.225806
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,0.612903
123,0.612903
124,0.774194
125,0.774194
126,0.580645
127,0.580645
128,1
129,1
130,0.677419
131,0.677419
132,0.0967742
133,0.0967742
134,0
135,0
136,0.967742
137,0.967742
138,1
139,1
140,0.709677
141,0.709677
142,1
143,1
144,0.645161
145,0.645161
146,1
147,1
148,0.322581
149,0.322581
150,1
151,1
152,0.935484
153,0.935484
154,0.741935
155,0.741935
156,1
157,1
158,0.354839
159,0.354839
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,0.193548
181,0.193548
182,0.354839
183,0.354839
184,1
185,1
186,0.322581
187,0.322581
188,1
189,1
190,1
191,1
192,0.967742
193,0.967742
194,0.967742
195,0.967742
196,1
197,1
198,0.806452
199,0.806452
200,0.645161
201,0.645161
202,0.419355
203,0.419355
204,1
205,1
206,0.225806
207,0.225806
208,1
209,1
210,1
211,1
212,0.322581
213,0.322581
214,1
215,1
216,0.419355
217,0.419355
218,1
219,1
220,0.580645
221,0.580645
222,1
223,1
224,0.225806
225,0.225806
226,1
227,1
228,0.322581
229,0.322581
230,1
231,1
232,0.322581
233,0.322581
234,1
235,1
236,0.322581
237,0.322581
238,1
239,1
240,1
241,1
242,0.645161
243,0.645161
244,1
245,1
246,1
247,1
248,0.290323
249,0.290323
250,1
251,1
252,0.967742
253,0.967742
254,1
255,1
256,0.967742
257,0.967742
258,1
259,1
260,1
261,1
262,0.225806
263,0.225806
264,1
265,1
266,0.225806
267,0.225806
268,1
269,1
270,0.903226
271,0.903226
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,0.935484
285,0.935484
286,0.290323
287,0.290323
288,1
289,1
290,0.225806
291,0.225806
292,0.935484
293,0.935484
294,0.548387
295,0.548387
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,0.967742
311,0.967742
312,0.0967742
313,0.0967742
314,0.0645161
315,0.0645161
316,0.0645161
317,0.0645161
318,0.0645161
319,0.0645161
320,0.16129
321,0.16129
322,0
323,0
324,0.0967742
325,0.0967742
326,0.0645161
327,0.0645161
328,0
329,0
330,0
331,0
332,0
333,0
334,0.0645161
335,0.0645161
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0.16129
353,0.16129
354,0
355,0
356,0
357,0
358,0.193548
359,0.193548
360,0.16129
361,0.16129
362,0.0645161
363,0.0645161
364,0.16129
365,0.16129
366,0.0967742
367,0.0967742
368,0.0967742
369,0.0967742
370,0.193548
371,0.193548
372,0.870968
373,0.870968
374,0.0645161
375,0.0645161
376,0.0322581
377,0.0322581
378,0.0322581
379,0.0322581
380,0.0322581
381,0.0322581
382,0.0322581
383,0.0322581
384,0.0322581
385,0.0322581
386,0.0322581
387,0.0322581
388,0.0322581
389,0.0322581
390,0
391,0
392,0.0322581
393,0.0322581
394,0.0322581
395,0.0322581
396,0.0322581
397,0.0322581
398,0.0322581
399,0.0322581
400,0.0322581
401,0.0322581
402,0.129032
403,0.129032
404,0.129032
405,0.129032
406,0.129032
407,0.129032
408,0.129032
409,0.129032
410,0.129032
411,0.129032
412,0.129032
413,0.129032
414,0.129032
415,0.129032
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0.258065
429,0.258065
430,0.967742
431,0.967742
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,0.967742
443,0.967742
444,0.387097
445,0.387097
446,0.83871
447,0.83871
448,1
449,1
450,0.806452
451,0.806452
452,1
453,1
454,0.935484
455,0.935484
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,0.645161
465,0.645161
466,0.290323
467,0.290323
468,0.322581
469,0.322581
470,0.129032
471,0.129032
472,0.129032
473,0.129032
474,0.129032
475,0.129032
476,0.129032
477,0.129032
478,0.193548
479,0.193548
480,0.225806
481,0.225806
482,0.0645161
483,0.0645161
484,0.0322581
485,0.0322581
486,0.0645161
487,0.0645161
488,0.0322581
489,0.0322581
490,0.0322581
491,0.0322581
492,0.0322581
493,0.0322581
494,0.0322581
495,0.0322581
496,0.0967742
497,0.0967742
498,0.0967742
499,0.0967742
500,0
501,0
502,0.0322581
503,0.0322581
504,0
505,0
506,0.129032
507,0.129032
508,0.0967742
509,0.0967742
510,0.0322581
511,0.0322581
512,0.0967742
513,0.0967742
514,0.0322581
515,0.0322581
516,0.0967742
517,0.0967742
518,0.0967742
519,0.0967742
520,0.0967742
521,0.0967742
522,0
523,0
524,0
525,0
526,0.0967742
527,0.0967742
528,0
529,0
530,0.0967742
531,0.0967742
532,0.0322581
533,0.0322581
534,0.0322581
535,0.0322581
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0.0645161
545,0.0645161
546,0.0645161
547,0.0645161
548,0.0322581
549,0.0322581
550,0.0322581
551,0.0322581
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0.0645161
563,0.0645161
564,0.0645161
565,0.0645161
566,0.0645161
567,0.0645161
