index,score
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,0.870968
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,0.225806
17,1
18,1
19,1
20,1
21,0.290323
22,0.290323
23,1
24,1
25,1
26,0.16129
27,0.290323
28,1
29,1
30,1
31,0.16129
32,0.290323
33,1
34,1
35,1
36,1
37,1
38,1
39,0.290323
40,0.258065
41,0.0967742
42,0.0967742
43,0.0645161
44,0
45,0.0322581
46,0.0645161
47,0.0322581
48,0.0322581
49,0.0645161
50,0.0967742
51,0.225806
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,0.612903
62,0.774194
63,0.580645
64,1
65,0.677419
66,0.0967742
67,0
68,0.967742
69,1
70,0.709677
71,1
72,0.645161
73,1
74,0.322581
75,1
76,0.935484
77,0.741935
78,1
79,0.354839
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,0.193548
91,0.354839
92,1
93,0.322581
94,1
95,1
96,0.967742
97,0.967742
98,1
99,0.806452
100,0.645161
101,0.419355
102,1
103,0.225806
104,1
105,1
106,0.322581
107,1
108,0.419355
109,1
110,0.580645
111,1
112,0.225806
113,1
114,0.322581
115,1
116,0.322581
117,1
118,0.322581
119,1
120,1
121,0.645161
122,1
123,1
124,0.290323
125,1
126,0.967742
127,1
128,0.967742
129,1
130,1
131,0.225806
132,1
133,0.225806
134,1
135,0.903226
136,1
137,1
138,1
139,1
140,1
141,1
142,0.935484
143,0.290323
144,1
145,0.225806
146,0.935484
147,0.548387
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,0.967742
156,0.0967742
157,0.0645161
158,0.0645161
159,0.0645161
160,0.16129
161,0
162,0.0967742
163,0.0645161
164,0
165,0
166,0
167,0.0645161
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0.16129
177,0
178,0
179,0.193548
180,0.16129
181,0.0645161
182,0.16129
183,0.0967742
184,0.0967742
185,0.193548
186,0.870968
187,0.0645161
188,0.0322581
189,0.0322581
190,0.0322581
191,0.0322581
192,0.0322581
193,0.0322581
194,0.0322581
195,0
196,0.0322581
197,0.0322581
198,0.0322581
199,0.0322581
200,0.0322581
201,0.129032
202,0.129032
203,0.129032
204,0.129032
205,0.129032
206,0.129032
207,0.129032
208,0
209,0
210,0
211,0
212,0
213,0
214,0.258065
215,0.967742
216,1
217,1
218,1
219,1
220,1
221,0.967742
222,0.387097
223,0.83871
224,1
225,0.806452
226,1
227,0.935484
228,1
229,1
230,1
231,1
232,0.645161
233,0.290323
234,0.322581
235,0.129032
236,0.129032
237,0.129032
238,0.129032
239,0.193548
240,0.225806
241,0.0645161
242,0.0322581
243,0.0645161
244,0.0322581
245,0.0322581
246,0.0322581
247,0.0322581
248,0.0967742
249,0.0967742
250,0
251,0.0322581
252,0
253,0.129032
254,0.0967742
255,0.0322581
256,0.0967742
257,0.0322581
258,0.0967742
259,0.0967742
260,0.0967742
261,0
262,0
263,0.0967742
264,0
265,0.0967742
266,0.0322581
267,0.0322581
268,0
269,0
270,0
271,0
272,0.0645161
273,0.0645161
274,0.0322581
275,0.0322581
276,0
277,0
278,0
279,0
280,0
281,0.0645161
282,0.0645161
283,0.0645161
284,0.0645161
285,0.0645161
286,0.0645161
287,0.0645161
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0.0645161
306,0.0967742
307,0.0322581
308,0.0322581
309,0.0645161
310,0.0645161
311,0.0322581
312,0.0322581
313,0
314,0.0322581
315,0
316,0
317,0
318,0
319,0.0645161
320,0
321,0.129032
322,0.0967742
323,0.129032
324,0.16129
325,0.16129
326,0.16129
327,0.0967742
328,0.0645161
329,0.0645161
330,0.0645161
331,0.0967742
332,0.129032
333,0.129032
334,0.129032
335,0.0967742
336,0.0967742
337,0.0322581
338,0
339,0
340,0
341,0.0322581
342,0.0645161
343,0.0645161
344,0.0645161
345,0.0645161
346,0.0645161
347,0.0645161
348,0.0322581
349,0.0645161
350,0.16129
351,0.16129
352,0.129032
353,0.0967742
354,0.129032
355,0.16129
356,0.129032
357,0.129032
358,0.0645161
359,0.0645161
360,0.258065
361,0.419355
362,0.16129
363,0.225806
364,0.258065
365,0.0967742
366,0.0645161
367,0.0967742
368,0.0967742
369,0.0967742
370,0.0967742
371,0.0967742
372,0.0322581
373,0.129032
374,0.0645161
375,0.0645161
376,0.193548
377,0.129032
378,0.0967742
379,0.0967742
380,0.0967742
381,0.0967742
382,0.0645161
383,0.129032
384,0.193548
385,0.290323
386,0.290323
387,1
388,0.225806
389,0.516129
390,0.129032
391,0.129032
392,0.0645161
393,0.0645161
394,0.129032
395,0.225806
396,0.0967742
397,0.0645161
398,0.16129
399,0.16129
400,0.16129
401,0.0967742
402,0.129032
403,0.548387
404,1
405,0.935484
406,1
407,0.967742
408,1
409,1
410,0.935484
411,0.967742
412,0.580645
413,0.967742
414,0.741935
415,0.903226
416,0.935484
417,0.580645
418,0.935484
419,1
420,0.677419
421,0.935484
422,0.935484
423,0.612903
424,0.612903
425,0.419355
426,1
427,1
428,1
429,1
430,1
431,0.935484
432,0.935484
433,0.967742
434,0.935484
435,1
436,0.967742
437,0.806452
438,1
439,0.548387
440,1
441,0.83871
442,0.935484
443,0.741935
444,0.677419
445,0.967742
446,1
447,0.806452
448,1
449,0.967742
450,0.516129
451,1
452,1
453,1
454,0.967742
455,1
456,1
457,1
458,1
459,0.935484
460,1
461,0.83871
462,1
463,0.709677
464,1
465,1
466,0.741935
467,0.645161
468,0.709677
469,1
470,0.903226
471,0.516129
472,0.516129
473,0.483871
474,0.451613
475,0.225806
476,0.451613
477,1
478,0.451613
479,0.548387
480,0.451613
481,0.580645
482,0.548387
483,0.387097
484,0.193548
485,0.193548
486,0.16129
487,0.16129
488,0.16129
489,0.16129
490,0.193548
491,0.16129
492,0.0322581
493,0.193548
494,0.0967742
495,0.290323
496,0.548387
497,0.451613
498,0.16129
499,0.193548
500,0.16129
501,0.16129
502,0.16129
503,0.0967742
504,0.0967742
505,0.0967742
506,0.16129
507,0.225806
508,0.258065
509,0.0645161
510,0.0967742
511,0.129032
512,0.129032
513,0.0967742
514,0.322581
515,0.451613
516,0.741935
517,0.903226
518,0.870968
519,0.709677
520,1
521,0.967742
522,0.870968
523,1
524,0.774194
525,0.935484
526,0.677419
527,0.225806
528,0.290323
529,0.290323
530,0.387097
