index,score
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,0.83871
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0.0322581
31,0.0645161
32,0
33,0.0322581
34,0.0645161
35,0
36,0.0322581
37,0
38,0
39,0
40,0
41,0
42,0
43,0.0322581
44,0
45,0
46,0
47,0
48,0
49,0
50,0.0322581
51,0.0967742
52,0.83871
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,0.903226
63,0.903226
64,0.870968
65,0.83871
66,0.0645161
67,0
68,0.0967742
69,0.129032
70,0.0967742
71,0.0645161
72,0.0967742
73,0.16129
74,0.225806
75,1
76,0.903226
77,0.83871
78,0.83871
79,0
80,0
81,0.0322581
82,0.0967742
83,0.0322581
84,0.0645161
85,0.0967742
86,0.0645161
87,0.0322581
88,0
89,0
90,0
91,0.0967742
92,0.0967742
93,0
94,0
95,0
96,0
97,0.0645161
98,0.0645161
99,0.16129
100,0.0967742
101,0.0967742
102,0.16129
103,0.129032
104,0.16129
105,0.16129
106,0.0967742
107,0
108,0
109,0.0322581
110,0.0967742
111,0.0645161
112,0
113,0.16129
114,0.16129
115,0.16129
116,0.258065
117,1
118,0.0645161
119,0.129032
120,0.0322581
121,0.0967742
122,0
123,0
124,0
125,0
126,0.0967742
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0.0322581
146,0
147,0
148,0
149,0.0967742
150,0
151,0
152,0
153,0.0322581
154,0.0322581
155,0.0645161
156,0.0645161
157,0.0645161
158,0.0645161
159,0.0645161
160,0.0645161
161,0
162,0
163,0.0967742
164,0.0967742
165,0
166,0
167,0
168,0
169,0
170,0
171,0.0645161
172,0.0645161
173,0.258065
174,1
175,0.903226
176,0.0967742
177,0.0967742
178,0.0322581
179,0
180,0
181,0
182,0.0645161
183,0.0967742
184,0.0967742
185,0.0967742
186,0.0967742
187,0.0967742
188,0.0967742
189,0.0322581
190,0
191,0.0645161
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0.0967742
200,0
201,0
202,0.0967742
203,0.0967742
204,0.129032
205,0.0967742
206,0
207,0.0967742
208,0
209,0.0967742
210,0
211,0
212,0
213,0.0322581
214,0.0322581
215,0.0322581
216,0.0322581
217,0
218,0
219,0
220,0.0645161
221,0.0645161
222,0.129032
223,0.16129
224,0.193548
225,1
226,0.225806
227,0.0645161
228,0.0645161
229,0.0322581
230,0.0322581
231,0.0322581
232,0.0322581
233,0.0322581
234,0.0645161
235,0.0645161
236,0.0322581
237,0
238,0.0322581
239,0.0322581
240,0.0645161
241,0.0645161
242,0.0967742
243,0.0322581
244,0.0645161
245,0.0645161
246,0.0645161
247,0.0322581
248,0.0322581
249,0.0645161
250,0.0322581
251,0.0967742
252,0.0967742
253,0.0967742
254,0.0967742
255,0.0967742
256,0.0967742
257,0.0967742
258,0.0322581
259,0.0322581
260,0.0322581
261,0.0322581
262,0.0322581
263,0.225806
264,1
265,0.0322581
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0.0645161
274,0.0645161
275,0.0645161
276,0.0645161
277,0.0645161
278,0.0645161
279,0.225806
280,1
281,0.0322581
282,0.0322581
283,0
284,0
285,0
286,0.0645161
287,0.129032
288,0.129032
289,0.129032
290,0.0645161
291,0.129032
292,0.0645161
293,0.0322581
294,0
295,0.0645161
296,0.0645161
297,0.0645161
298,0.0967742
299,0.0967742
300,0.0967742
301,0.0967742
302,0.225806
303,0.225806
304,0.225806
305,0.0967742
306,0.0322581
307,0.0322581
308,0.0967742
309,0.0645161
310,0.0645161
311,0.0645161
312,0.0645161
313,0.129032
314,0.129032
315,0.0645161
316,0.0645161
317,0.0645161
318,0.0645161
319,0.0967742
320,0.0322581
321,0.0322581
322,0.0322581
323,0.0645161
324,0.0322581
325,0.0967742
326,0.16129
327,0.0645161
328,0.16129
329,0.16129
330,0.16129
331,0.0645161
332,0.0645161
333,0.0322581
334,0.0322581
335,0.0322581
336,0.0967742
337,0.0967742
338,0.0967742
339,0.0967742
340,0.0645161
341,0.0645161
342,0.258065
343,1
344,0.0967742
345,0.16129
346,0.193548
347,0.225806
348,0.0967742
349,0.0967742
350,0
351,0.483871
352,1
353,1
354,1
355,1
356,1
357,0.0645161
358,0.774194
359,1
360,0.774194
361,1
362,1
363,1
364,1
365,1
366,1
367,0.967742
368,0.0322581
369,0.16129
370,0.290323
371,1
372,0.225806
373,1
374,0.290323
375,1
376,0.806452
377,0.580645
378,0.870968
379,0.258065
380,1
381,0.258065
382,0.967742
383,0.193548
384,0.548387
385,0.387097
386,0.419355
387,0.322581
388,0.935484
389,0.322581
390,0.322581
391,0.258065
392,0.225806
393,0.774194
394,0.419355
395,1
396,1
397,0.774194
398,1
399,0.548387
400,0.451613
401,0.451613
402,0.322581
403,0.258065
404,0.290323
405,0.354839
406,0.806452
407,0.290323
408,0.193548
409,0.258065
410,0.387097
411,1
412,0.225806
413,0.193548
414,0.193548
415,0.193548
416,0.16129
417,0.193548
418,1
419,0.129032
420,0.225806
421,0.612903
422,0.258065
423,0.258065
424,0.258065
425,0.16129
426,0.193548
427,0.354839
428,0.806452
429,0.0645161
430,0.0645161
431,0.225806
432,0.129032
433,0.0967742
434,0.0322581
435,0.0967742
436,0.129032
437,0.225806
438,0.387097
439,0.419355
440,0.16129
441,0.0967742
442,0.16129
443,0.193548
444,1
445,0.16129
446,0.129032
447,0.16129
448,0.258065
449,1
450,0.419355
451,1
452,1
453,0.483871
454,1
455,1
456,0.967742
457,0.741935
458,0.580645
459,0.354839
460,0.548387
461,0.354839
462,0.0645161
463,0.0967742
464,0.0967742
465,0.129032
466,0.0967742
467,0.0967742
468,0.0645161
469,0.193548
470,0.258065
471,0.870968
472,1
473,1
474,1
475,1
476,1
477,1
478,0.774194
479,0.548387
480,0.225806
481,0.322581
482,0.774194
483,0.322581
484,0.387097
485,0.322581
486,1
487,0.354839
488,0.258065
489,0.258065
490,0.129032
491,0.129032
492,0.129032
493,0.0967742
494,0.129032
495,0.16129
496,0.225806
497,0.225806
498,1
499,0.290323
500,0.387097
501,0.16129
502,0.16129
503,0.16129
504,0.0645161
505,0.0645161
506,0.0967742
507,0.0967742
508,0.0967742
509,0.0967742
510,0.0645161
511,0.0645161
512,0.0645161
513,0.0645161
