index,score
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,0.935484
69,1
70,0.935484
71,1
72,1
73,0.935484
74,0.935484
75,0.935484
76,0.935484
77,0.935484
78,0.935484
79,1
80,1
81,1
82,0.935484
83,1
84,1
85,1
86,1
87,0.935484
88,0.935484
89,0.935484
90,0.935484
91,1
92,1
93,1
94,1
95,1
96,1
97,0.387097
98,0.935484
99,0.258065
100,0.258065
101,0.419355
102,0.419355
103,0.935484
104,0.451613
105,1
106,0.935484
107,0.451613
108,1
109,1
110,0.741935
111,0.451613
112,0.451613
113,0.451613
114,0.354839
115,0.935484
116,0.935484
117,0.322581
118,0.322581
119,0.258065
120,1
121,0.935484
122,0.935484
123,0.935484
124,0.935484
125,0.935484
126,0.935484
127,0.322581
128,0.322581
129,0.225806
130,1
131,0.451613
132,0.419355
133,0.354839
134,0.16129
135,1
136,0.225806
137,0.387097
138,0.258065
139,0.419355
140,0.451613
141,1
142,0.322581
143,0.354839
144,0.419355
145,0.322581
146,0.193548
147,1
148,0.225806
149,0.258065
150,0.354839
151,0.354839
152,0.354839
153,0.354839
154,0.258065
155,0.193548
156,1
157,0.225806
158,1
159,0.935484
160,0.935484
161,0.935484
162,0.935484
163,0.354839
164,0.580645
165,1
166,1
167,0.580645
168,1
169,0.903226
170,0.322581
171,1
172,0.387097
173,0.451613
174,0.870968
175,1
176,1
177,1
178,0.483871
179,0.580645
180,0.741935
181,0.451613
182,0.451613
183,0.387097
184,0.483871
185,0.612903
186,0.580645
187,0.645161
188,1
189,0.419355
190,0.419355
191,0.419355
192,0.419355
193,0.419355
194,0.451613
195,0.516129
196,0.580645
197,0.483871
198,0.483871
199,0.387097
200,0.387097
201,0.419355
202,0.387097
203,0.419355
204,0.387097
205,0.516129
206,0.580645
207,0.516129
208,0.516129
209,0.483871
210,0.483871
211,0.483871
212,0.483871
213,0.387097
214,0.483871
215,0.451613
216,0.451613
217,0.483871
218,0.483871
219,1
220,1
221,1
222,1
223,1
224,0.354839
225,0.483871
226,1
227,0.903226
228,0.548387
229,0.548387
230,0.548387
231,0.548387
232,0.612903
233,0.645161
234,0.516129
235,0.645161
236,0.354839
237,0.741935
238,1
239,0.741935
240,0.419355
241,0.354839
242,0.354839
243,0.354839
244,0.354839
245,0.548387
246,1
247,1
248,1
249,1
250,1
251,1
252,0.935484
253,1
254,0.612903
255,0.709677
256,0.387097
257,0.354839
258,0.451613
259,0.354839
260,0.322581
261,0.612903
262,0.935484
263,1
264,1
265,0.967742
266,1
267,1
268,0.967742
269,0.967742
270,0.612903
271,0.774194
272,0.935484
273,0.903226
274,0.935484
275,1
276,0.483871
277,0.580645
278,0.709677
279,0.774194
280,1
281,0.741935
282,1
283,0.903226
284,1
285,0.741935
286,1
287,1
288,1
289,1
290,0.645161
291,0.709677
292,0.677419
293,0.677419
294,0.741935
295,0.741935
296,0.741935
297,0.741935
298,0.741935
299,0.774194
300,0.741935
301,0.741935
302,1
303,0.774194
304,0.870968
305,0.741935
306,1
307,0.774194
308,0.903226
309,0.870968
310,0.774194
311,0.774194
312,0.903226
313,1
314,1
315,0.870968
316,0.935484
317,1
318,0.967742
319,0.935484
320,0.83871
321,0.774194
322,0.870968
323,0.83871
324,0.580645
325,0.709677
326,0.83871
327,0.806452
328,0.806452
329,0.967742
330,0.806452
331,0.580645
332,0.548387
333,0.967742
334,0.870968
335,0.903226
336,0.935484
337,0.580645
338,1
339,0.806452
340,0.903226
341,0.903226
342,0.967742
343,1
344,1
345,0.83871
346,0.741935
347,0.580645
348,0.548387
349,0.774194
350,0.709677
351,0.741935
352,0.580645
353,0.741935
354,0.354839
355,0.580645
356,0.548387
357,0.548387
358,0.548387
359,0.516129
360,0.645161
361,0.451613
362,0.483871
363,0.741935
364,0.483871
365,0.612903
366,0.387097
367,0.193548
368,1
369,0.548387
370,0.741935
371,0.419355
372,0.774194
373,0.516129
374,0.548387
375,0.677419
376,0.451613
377,0.387097
378,0.612903
379,0.354839
380,0.451613
381,0.354839
382,0.193548
383,0.193548
384,0.193548
385,0.129032
386,0.225806
387,0.580645
388,0.612903
389,0.322581
390,0.193548
391,0.193548
392,0.258065
393,0.354839
394,0.258065
395,0.258065
396,0.354839
397,0.16129
398,0.193548
399,0.225806
400,0.225806
401,0.225806
402,0.225806
403,0.225806
404,0.870968
405,0.806452
406,0.774194
407,0.741935
408,0.709677
409,0.709677
410,0.290323
411,0.225806
412,0.225806
413,0.258065
414,0.225806
415,0.225806
416,0.225806
417,0.225806
418,0.225806
419,0.225806
420,0.225806
421,0.258065
422,0.258065
423,1
424,0.741935
425,0.548387
426,0.516129
427,0.483871
428,0.290323
429,0.258065
430,1
431,0.709677
432,0.903226
433,0.83871
434,0.870968
435,0.677419
436,0.741935
437,0.612903
438,0.612903
439,0.548387
440,0.612903
441,0.387097
442,0.741935
443,0.774194
444,0.451613
445,0.709677
446,0.935484
447,0.483871
448,0.709677
449,0.709677
450,0.774194
451,0.935484
452,0.645161
453,0.870968
454,0.645161
455,0.741935
456,0.548387
457,0.774194
458,0.516129
459,0.774194
460,0.741935
461,0.645161
462,0.387097
463,0.935484
464,0.548387
465,0.677419
466,0.741935
467,0.580645
468,0.774194
469,0.290323
470,0.645161
471,0.741935
472,0.709677
473,0.709677
474,0.580645
475,0.677419
476,0.83871
477,0.709677
478,0.806452
479,0.935484
480,1
481,1
482,0.677419
483,0.709677
484,0.903226
485,0.677419
486,0.741935
487,0.709677
488,0.903226
489,0.677419
490,0.741935
491,0.645161
492,0.677419
493,0.806452
494,0.870968
495,0.903226
496,0.548387
497,0.580645
498,0.516129
499,0.516129
500,0.935484
501,0.741935
502,0.677419
503,0.741935
504,0.612903
505,1
506,0.967742
507,0.83871
508,0.774194
509,0.774194
510,1
511,0.870968
512,0.935484
513,0.83871
514,0.903226
515,0.741935
516,1
517,0.548387
518,0.709677
519,0.612903
520,0.967742
521,0.645161
522,0.967742
523,0.83871
524,0.967742
525,0.612903
