Best | F1=0.4478 precision=0.4592 recall=0.4370 accuracy=0.7877 threshold=0.9700 thresholds_tested=101
Avg  | F1=0.2541 precision=0.1588 recall=0.8567 accuracy=0.3324 thresholds_tested=101
Runtime : 4210.71 sec
Avg CPU : 158.4%
Peak RAM: 1338.2 MB

RAM samples (10s intervals):
  t=1850.3s  1336.5 MB
  t=1860.3s  1336.5 MB
  t=1870.3s  1336.5 MB
  t=1880.3s  1336.5 MB
  t=1890.3s  1336.5 MB
  t=1900.3s  1336.5 MB
  t=1910.3s  1336.5 MB
  t=1920.3s  1336.5 MB
  t=1930.3s  1336.5 MB
  t=1940.4s  1336.5 MB
  t=1950.4s  1336.5 MB
  t=1960.4s  1336.5 MB
  t=1970.4s  1336.5 MB
  t=1980.4s  1336.5 MB
  t=1990.4s  1336.5 MB
  t=2000.4s  1336.5 MB
  t=2010.4s  1336.5 MB
  t=2020.4s  1336.5 MB
  t=2030.4s  1336.5 MB
  t=2040.4s  1336.5 MB
  t=2050.4s  1336.5 MB
  t=2060.4s  1336.5 MB
  t=2070.4s  1336.5 MB
  t=2080.4s  1336.5 MB
  t=2090.4s  1336.5 MB
  t=2100.4s  1336.5 MB
  t=2110.4s  1336.5 MB
  t=2120.4s  1336.5 MB
  t=2130.4s  1336.5 MB
  t=2140.4s  1336.5 MB
  t=2150.4s  1336.5 MB
  t=2160.4s  1336.5 MB
  t=2170.4s  1336.5 MB
  t=2180.4s  1336.5 MB
  t=2190.4s  1336.5 MB
  t=2200.4s  1336.5 MB
  t=2210.4s  1336.5 MB
  t=2220.4s  1336.5 MB
  t=2230.4s  1336.5 MB
  t=2240.4s  1336.5 MB
  t=2250.4s  1336.5 MB
  t=2260.4s  1336.5 MB
  t=2270.4s  1336.5 MB
  t=2280.4s  1336.5 MB
  t=2290.4s  1336.5 MB
  t=2300.4s  1336.5 MB
  t=2310.4s  1336.5 MB
  t=2320.4s  1336.5 MB
  t=2330.4s  1336.5 MB
  t=2340.4s  1336.5 MB
  t=2350.4s  1336.5 MB
  t=2360.4s  1336.5 MB
  t=2370.4s  1336.8 MB
  t=2380.4s  1336.8 MB
  t=2390.4s  1336.8 MB
  t=2400.4s  1336.8 MB
  t=2410.4s  1336.8 MB
  t=2420.4s  1336.8 MB
  t=2430.4s  1336.8 MB
  t=2440.4s  1336.8 MB
  t=2450.4s  1336.8 MB
  t=2460.4s  1336.8 MB
  t=2470.4s  1336.8 MB
  t=2480.4s  1336.8 MB
  t=2490.4s  1336.8 MB
  t=2500.4s  1336.8 MB
  t=2510.4s  1336.8 MB
  t=2520.4s  1336.8 MB
  t=2530.4s  1336.8 MB
  t=2540.4s  1336.8 MB
  t=2550.4s  1336.8 MB
  t=2560.4s  1336.8 MB
  t=2570.4s  1336.8 MB
  t=2580.5s  1336.8 MB
  t=2590.5s  1336.8 MB
  t=2600.5s  1336.8 MB
  t=2610.5s  1336.8 MB
  t=2620.5s  1336.8 MB
  t=2630.5s  1336.8 MB
  t=2640.5s  1336.8 MB
  t=2650.5s  1336.8 MB
  t=2660.5s  1336.8 MB
  t=2670.5s  1336.8 MB
  t=2680.5s  1336.8 MB
  t=2690.5s  1336.8 MB
  t=2700.5s  1336.8 MB
  t=2710.5s  1336.8 MB
  t=2720.5s  1336.8 MB
  t=2730.5s  1336.8 MB
  t=2740.5s  1336.8 MB
  t=2750.5s  1336.8 MB
  t=2760.5s  1336.8 MB
  t=2770.5s  1336.8 MB
  t=2780.5s  1336.8 MB
  t=2790.5s  1336.8 MB
  t=2800.5s  1336.8 MB
  t=2810.5s  1336.8 MB
  t=2820.5s  1336.8 MB
  t=2830.5s  1336.8 MB
  t=2840.5s  1336.8 MB
  t=2850.5s  1336.8 MB
  t=2860.5s  1336.8 MB
  t=2870.5s  1336.8 MB
  t=2880.5s  1336.8 MB
  t=2890.5s  1336.8 MB
  t=2900.5s  1336.8 MB
  t=2910.5s  1336.8 MB
  t=2920.5s  1336.8 MB
  t=2930.5s  1336.8 MB
  t=2940.5s  1336.8 MB
  t=2950.5s  1336.8 MB
  t=2960.5s  1336.8 MB
  t=2970.5s  1336.8 MB
  t=2980.5s  1336.8 MB
  t=2990.5s  1336.8 MB
