Best | F1=0.2683 precision=0.1612 recall=0.7985 accuracy=0.4848 threshold=0.9700 thresholds_tested=101
Avg  | F1=0.2125 precision=0.1207 recall=0.8950 accuracy=0.2329 thresholds_tested=101
Runtime : 16552.27 sec
Avg CPU : 151.9%
Peak RAM: 357.5 MB

RAM samples (10s intervals):
  t=10.0s  78.0 MB
  t=20.0s  156.6 MB
  t=30.0s  229.8 MB
  t=40.0s  279.1 MB
  t=50.0s  329.8 MB
  t=60.0s  337.3 MB
  t=70.0s  339.0 MB
  t=80.0s  339.0 MB
  t=90.0s  339.0 MB
  t=100.0s  339.0 MB
  t=110.0s  339.1 MB
  t=120.0s  339.1 MB
  t=130.0s  339.1 MB
  t=140.0s  339.1 MB
  t=150.0s  339.2 MB
  t=160.0s  339.9 MB
  t=170.0s  341.3 MB
  t=180.0s  341.5 MB
  t=190.0s  341.7 MB
  t=200.0s  342.8 MB
  t=210.0s  342.8 MB
  t=220.0s  344.8 MB
  t=230.0s  344.8 MB
  t=240.0s  344.9 MB
  t=250.0s  345.0 MB
  t=260.0s  345.5 MB
  t=270.0s  345.5 MB
  t=280.0s  345.5 MB
  t=290.1s  345.7 MB
  t=300.1s  345.8 MB
  t=310.1s  345.8 MB
  t=320.1s  345.9 MB
  t=330.1s  345.9 MB
  t=340.1s  345.9 MB
  t=350.1s  345.9 MB
  t=360.1s  345.9 MB
  t=370.1s  345.9 MB
  t=380.1s  346.2 MB
  t=390.1s  346.4 MB
  t=400.1s  346.9 MB
  t=410.1s  347.2 MB
  t=420.1s  347.6 MB
  t=430.1s  347.6 MB
  t=440.1s  348.4 MB
  t=450.1s  348.4 MB
  t=460.1s  348.4 MB
  t=470.1s  348.6 MB
  t=480.1s  348.7 MB
  t=490.1s  348.7 MB
  t=500.1s  348.8 MB
  t=510.1s  349.0 MB
  t=520.1s  349.1 MB
  t=530.1s  349.2 MB
  t=540.1s  349.3 MB
  t=550.1s  349.3 MB
  t=560.1s  349.3 MB
  t=570.1s  349.3 MB
  t=580.1s  349.3 MB
  t=590.1s  349.3 MB
  t=600.1s  349.3 MB
  t=610.1s  349.4 MB
  t=620.1s  349.5 MB
  t=630.1s  349.5 MB
  t=640.1s  349.5 MB
  t=650.1s  349.5 MB
  t=660.1s  349.5 MB
  t=670.1s  349.5 MB
  t=680.1s  349.5 MB
  t=690.1s  349.5 MB
  t=700.1s  349.6 MB
  t=710.1s  349.7 MB
  t=720.1s  349.7 MB
  t=730.1s  349.7 MB
  t=740.1s  349.7 MB
  t=750.1s  349.7 MB
  t=760.1s  349.7 MB
  t=770.1s  349.7 MB
  t=780.1s  349.7 MB
  t=790.1s  349.7 MB
  t=800.1s  349.7 MB
  t=810.1s  349.7 MB
  t=820.1s  349.7 MB
  t=830.1s  349.7 MB
  t=840.1s  349.7 MB
  t=850.1s  349.8 MB
  t=860.1s  349.9 MB
  t=870.1s  349.9 MB
  t=880.1s  349.9 MB
  t=890.1s  349.9 MB
  t=900.1s  349.9 MB
  t=910.1s  350.1 MB
  t=920.1s  350.1 MB
  t=930.1s  350.2 MB
  t=940.1s  350.2 MB
  t=950.1s  350.2 MB
  t=960.1s  350.2 MB
  t=970.1s  350.2 MB
  t=980.1s  350.2 MB
  t=990.1s  350.2 MB
  t=1000.1s  350.2 MB
  t=1010.1s  350.2 MB
  t=1020.1s  350.2 MB
  t=1030.1s  350.2 MB
  t=1040.1s  350.2 MB
  t=1050.2s  350.2 MB
  t=1060.2s  350.2 MB
  t=1070.2s  350.2 MB
  t=1080.2s  350.2 MB
  t=1090.2s  350.2 MB
  t=1100.2s  350.2 MB
  t=1110.2s  350.2 MB
  t=1120.2s  350.2 MB
  t=1130.2s  350.2 MB
  t=1140.2s  350.2 MB
  t=1150.2s  350.3 MB
  t=1160.2s  350.3 MB
  t=1170.2s  350.3 MB
  t=1180.2s  350.3 MB
  t=1190.2s  350.3 MB
  t=1200.2s  350.3 MB
  t=1210.2s  350.3 MB
  t=1220.2s  350.3 MB
  t=1230.2s  350.3 MB
  t=1240.2s  350.3 MB
  t=1250.2s  350.3 MB
  t=1260.2s  350.3 MB
  t=1270.2s  350.3 MB
  t=1280.2s  350.3 MB
  t=1290.2s  350.4 MB
  t=1300.2s  350.4 MB
  t=1310.2s  350.4 MB
  t=1320.2s  350.4 MB
  t=1330.2s  350.4 MB
  t=1340.2s  350.4 MB
  t=1350.2s  350.4 MB
  t=1360.2s  350.4 MB
  t=1370.2s  350.4 MB
  t=1380.2s  350.4 MB
  t=1390.2s  350.4 MB
  t=1400.2s  350.4 MB
  t=1410.2s  350.4 MB
  t=1420.2s  350.4 MB
  t=1430.2s  350.4 MB
  t=1440.2s  350.4 MB
  t=1450.2s  350.4 MB
  t=1460.2s  350.4 MB
  t=1470.2s  350.4 MB
  t=1480.2s  350.4 MB
  t=1490.2s  350.4 MB
  t=1500.2s  350.4 MB
  t=1510.2s  350.4 MB
  t=1520.2s  350.4 MB
  t=1530.2s  350.4 MB
  t=1540.2s  350.4 MB
  t=1550.2s  350.4 MB
  t=1560.2s  350.4 MB
  t=1570.2s  350.4 MB
  t=1580.2s  350.4 MB
  t=1590.2s  350.4 MB
  t=1600.2s  350.4 MB
  t=1610.2s  350.4 MB
  t=1620.2s  350.4 MB
  t=1630.2s  350.4 MB
  t=1640.2s  350.4 MB
  t=1650.2s  350.4 MB
  t=1660.2s  350.4 MB
  t=1670.2s  350.4 MB
  t=1680.2s  350.4 MB
  t=1690.2s  350.4 MB
  t=1700.2s  350.4 MB
  t=1710.2s  350.4 MB
  t=1720.2s  350.4 MB
  t=1730.2s  350.4 MB
  t=1740.2s  350.4 MB
  t=1750.2s  350.4 MB
  t=1760.2s  350.4 MB
  t=1770.3s  350.4 MB
  t=1780.3s  350.4 MB
  t=1790.3s  350.4 MB
  t=1800.3s  350.4 MB
  t=1810.3s  350.4 MB
  t=1820.3s  350.4 MB
  t=1830.3s  350.4 MB
  t=1840.3s  350.4 MB
  t=1850.3s  350.4 MB
  t=1860.3s  350.4 MB
  t=1870.3s  350.4 MB
  t=1880.3s  350.4 MB
  t=1890.3s  350.4 MB
  t=1900.3s  350.4 MB
  t=1910.3s  350.4 MB
  t=1920.3s  350.4 MB
  t=1930.3s  350.4 MB
  t=1940.3s  350.4 MB
  t=1950.3s  350.4 MB
  t=1960.3s  350.4 MB
  t=1970.3s  350.4 MB
  t=1980.3s  350.4 MB
  t=1990.3s  350.4 MB
  t=2000.3s  350.7 MB
  t=2010.3s  350.7 MB
  t=2020.3s  350.7 MB
  t=2030.3s  350.7 MB
  t=2040.3s  350.7 MB
  t=2050.3s  350.7 MB
  t=2060.3s  350.7 MB
  t=2070.3s  350.7 MB
  t=2080.3s  350.7 MB
  t=2090.3s  350.7 MB
  t=2100.3s  350.7 MB
  t=2110.3s  350.7 MB
  t=2120.3s  350.7 MB
  t=2130.3s  350.7 MB
  t=2140.3s  350.7 MB
  t=2150.3s  350.7 MB
  t=2160.3s  350.7 MB
  t=2170.3s  350.7 MB
  t=2180.3s  350.7 MB
  t=2190.3s  350.7 MB
  t=2200.3s  350.7 MB
  t=2210.3s  350.7 MB
  t=2220.3s  350.7 MB
  t=2230.3s  350.7 MB
  t=2240.3s  350.7 MB
  t=2250.3s  350.7 MB
  t=2260.3s  350.7 MB
  t=2270.3s  350.7 MB
  t=2280.3s  350.7 MB
  t=2290.3s  350.7 MB
  t=2300.3s  350.7 MB
  t=2310.3s  350.7 MB
  t=2320.3s  350.7 MB
  t=2330.3s  350.7 MB
  t=2340.3s  350.7 MB
  t=2350.3s  350.7 MB
