Best | F1=0.3269 precision=0.2155 recall=0.6766 accuracy=0.6626 threshold=0.7800 thresholds_tested=101
Avg  | F1=0.2416 precision=0.1506 recall=0.7832 accuracy=0.4252 thresholds_tested=101
Runtime : 3830.59 sec
Avg CPU : 142.3%
Peak RAM: 398.5 MB

RAM samples (10s intervals):
  t=1970.3s  393.2 MB
  t=1980.3s  393.2 MB
  t=1990.3s  393.2 MB
  t=2000.3s  393.2 MB
  t=2010.3s  393.2 MB
  t=2020.3s  393.2 MB
  t=2030.3s  393.2 MB
  t=2040.3s  393.2 MB
  t=2050.3s  393.2 MB
  t=2060.3s  393.2 MB
  t=2070.3s  393.2 MB
  t=2080.3s  393.2 MB
  t=2090.3s  393.2 MB
  t=2100.3s  393.2 MB
  t=2110.3s  393.2 MB
  t=2120.3s  393.2 MB
  t=2130.3s  393.2 MB
  t=2140.3s  393.2 MB
  t=2150.3s  393.2 MB
  t=2160.3s  393.2 MB
  t=2170.3s  393.2 MB
  t=2180.3s  393.2 MB
  t=2190.3s  393.2 MB
  t=2200.3s  393.2 MB
  t=2210.3s  393.2 MB
  t=2220.3s  393.2 MB
  t=2230.3s  393.2 MB
  t=2240.3s  393.2 MB
  t=2250.3s  393.2 MB
  t=2260.3s  393.2 MB
  t=2270.3s  393.2 MB
  t=2280.3s  393.2 MB
  t=2290.3s  393.2 MB
  t=2300.3s  393.2 MB
  t=2310.3s  393.2 MB
  t=2320.3s  393.2 MB
  t=2330.3s  393.2 MB
  t=2340.4s  393.2 MB
  t=2350.4s  393.2 MB
  t=2360.4s  393.2 MB
  t=2370.4s  393.2 MB
  t=2380.4s  393.2 MB
  t=2390.4s  393.2 MB
  t=2400.4s  393.2 MB
  t=2410.4s  393.2 MB
  t=2420.4s  393.2 MB
  t=2430.4s  393.2 MB
  t=2440.4s  393.2 MB
  t=2450.4s  393.2 MB
  t=2460.4s  393.2 MB
  t=2470.4s  393.2 MB
  t=2480.4s  393.2 MB
  t=2490.4s  393.2 MB
  t=2500.4s  393.2 MB
  t=2510.4s  393.2 MB
  t=2520.4s  393.2 MB
  t=2530.4s  393.2 MB
  t=2540.4s  393.2 MB
  t=2550.4s  393.2 MB
  t=2560.4s  393.2 MB
  t=2570.4s  393.2 MB
  t=2580.4s  393.2 MB
  t=2590.4s  393.2 MB
  t=2600.4s  393.2 MB
  t=2610.4s  393.2 MB
  t=2620.4s  393.2 MB
  t=2630.4s  393.2 MB
  t=2640.4s  393.2 MB
  t=2650.4s  393.2 MB
  t=2660.4s  393.2 MB
  t=2670.4s  393.2 MB
  t=2680.4s  393.2 MB
  t=2690.4s  393.2 MB
  t=2700.4s  393.2 MB
  t=2710.4s  393.2 MB
  t=2720.4s  393.2 MB
  t=2730.4s  393.2 MB
  t=2740.4s  393.2 MB
  t=2750.4s  393.2 MB
  t=2760.4s  393.2 MB
  t=2770.4s  393.2 MB
  t=2780.4s  393.2 MB
  t=2790.4s  393.2 MB
  t=2800.4s  393.2 MB
  t=2810.4s  393.2 MB
  t=2820.4s  393.2 MB
  t=2830.4s  393.2 MB
  t=2840.4s  393.2 MB
  t=2850.4s  393.2 MB
  t=2860.4s  393.2 MB
  t=2870.4s  393.2 MB
  t=2880.4s  393.2 MB
  t=2890.4s  393.2 MB
  t=2900.4s  393.2 MB
  t=2910.4s  393.2 MB
  t=2920.4s  393.2 MB
  t=2930.4s  393.2 MB
  t=2940.4s  393.2 MB
  t=2950.4s  393.2 MB
  t=2960.4s  393.2 MB
  t=2970.4s  393.2 MB
  t=2980.4s  393.2 MB
  t=2990.4s  393.2 MB
  t=3000.4s  393.2 MB
  t=3010.4s  393.2 MB
  t=3020.4s  393.2 MB
  t=3030.4s  393.2 MB
  t=3040.4s  393.2 MB
  t=3050.4s  393.2 MB
  t=3060.4s  393.2 MB
  t=3070.4s  393.2 MB
  t=3080.4s  393.2 MB
  t=3090.4s  393.2 MB
  t=3100.5s  393.2 MB
  t=3110.5s  393.2 MB
  t=3120.5s  393.2 MB
  t=3130.5s  393.2 MB
  t=3140.5s  393.2 MB
  t=3150.5s  393.2 MB
  t=3160.5s  393.2 MB
  t=3170.5s  393.2 MB
  t=3180.5s  393.2 MB
  t=3190.5s  393.2 MB
  t=3200.5s  393.2 MB
  t=3210.5s  393.2 MB
  t=3220.5s  393.2 MB
  t=3230.5s  393.2 MB
  t=3240.5s  393.2 MB
  t=3250.5s  393.2 MB
  t=3260.5s  393.2 MB
  t=3270.5s  393.2 MB
  t=3280.5s  393.2 MB
  t=3290.5s  393.2 MB
  t=3300.5s  393.2 MB
  t=3310.5s  393.2 MB
  t=3320.5s  393.2 MB
  t=3330.5s  393.2 MB
  t=3340.5s  393.2 MB
  t=3350.5s  393.2 MB
  t=3360.5s  393.2 MB
  t=3370.5s  393.2 MB
  t=3380.5s  393.2 MB
  t=3390.5s  393.2 MB
  t=3400.5s  393.2 MB
  t=3410.5s  393.2 MB
  t=3420.5s  393.2 MB
  t=3430.5s  393.2 MB
  t=3440.5s  393.2 MB
  t=3450.5s  393.2 MB
  t=3460.5s  393.2 MB
  t=3470.5s  393.2 MB
  t=3480.5s  393.2 MB
  t=3490.5s  393.2 MB
  t=3500.5s  393.2 MB
  t=3510.5s  393.2 MB
  t=3520.5s  393.2 MB
  t=3530.5s  393.2 MB
  t=3540.5s  393.2 MB
  t=3550.5s  393.2 MB
  t=3560.5s  393.2 MB
  t=3570.5s  393.2 MB
  t=3580.5s  393.2 MB
  t=3590.5s  393.2 MB
  t=3600.5s  393.2 MB
  t=3610.5s  393.2 MB
  t=3620.5s  393.2 MB
